id;name;creator_id;str;con;dex;intl;wis;cha
1;transmitting Solomon Islands Dollar Cyprus;95380;41141;68907;27630;95272;49215;20807
2;auxiliary;46208;85207;22487;12078;40837;63716;11396
3;deposit;27606;7631;60787;58174;7556;5393;86860
4;eco-centric;98138;69939;12268;96129;42800;25776;15845
5;applications back up Specialist;44454;28233;40410;98060;50350;61299;93651
6;District enhance;42745;83253;43292;59875;20948;15833;249
7;Checking Account;82966;95939;33642;10260;11934;90717;44225
8;Uzbekistan;13034;45801;44737;24796;769;66008;21655
9;mission-critical Solutions;69249;64873;8469;42608;96925;11877;84030
10;Rubber;71161;3821;39471;98171;38354;25018;36621
